Ereignisdatum,Meldungsdatum,Freigabedatum,Kanton,Tierart,Seuchenname,Serotyp
11.09.24,16.09.24,16.09.24,SO,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,16.09.24,16.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,16.09.24,16.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,16.09.24,16.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,16.09.24,16.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
05.09.24,16.09.24,16.09.24,AG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,BE,Rind,Blauzungenkrankheit (Bluetongue),BTV-8
13.09.24,13.09.24,13.09.24,BE,Rind,Blauzungenkrankheit (Bluetongue),BTV-8
13.09.24,13.09.24,13.09.24,AG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,TG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
10.09.24,13.09.24,13.09.24,SG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,VD,Schaf,Blauzungenkrankheit (Bluetongue),BTV-8
13.09.24,13.09.24,13.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
13.09.24,13.09.24,13.09.24,SH,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,13.09.24,13.09.24,NE,Rind,Blauzungenkrankheit (Bluetongue),BTV-8
13.09.24,13.09.24,13.09.24,VD,Rind,Blauzungenkrankheit (Bluetongue),BTV-8
12.09.24,12.09.24,12.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,12.09.24,12.09.24,ZH,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,12.09.24,12.09.24,ZH,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
12.09.24,12.09.24,12.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,12.09.24,12.09.24,AG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,11.09.24,11.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,TG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,11.09.24,11.09.24,SO,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
11.09.24,11.09.24,11.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
05.09.24,11.09.24,11.09.24,SO,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,11.09.24,11.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
10.09.24,10.09.24,10.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
10.09.24,10.09.24,10.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
10.09.24,10.09.24,10.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,10.09.24,10.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
09.09.24,09.09.24,09.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,09.09.24,09.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,09.09.24,09.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
09.09.24,09.09.24,09.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
09.09.24,09.09.24,09.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
09.09.24,09.09.24,09.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
09.09.24,09.09.24,09.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
09.09.24,09.09.24,09.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
03.09.24,09.09.24,09.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
02.09.24,09.09.24,09.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
02.09.24,09.09.24,09.09.24,SO,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
03.09.24,09.09.24,09.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
09.09.24,09.09.24,09.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,TG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,BE,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,BE,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
06.09.24,06.09.24,06.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
30.08.24,30.08.24,05.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
30.08.24,05.09.24,05.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
30.08.24,30.08.24,05.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
04.09.24,04.09.24,05.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
04.09.24,04.09.24,05.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
04.09.24,04.09.24,05.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
30.08.24,30.08.24,05.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
04.09.24,04.09.24,05.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
05.09.24,05.09.24,05.09.24,SH,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
04.09.24,04.09.24,05.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
05.09.24,05.09.24,05.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
05.09.24,05.09.24,05.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
05.09.24,05.09.24,05.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
05.09.24,05.09.24,05.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
05.09.24,05.09.24,05.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
05.09.24,05.09.24,05.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
05.09.24,05.09.24,05.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
01.09.24,05.09.24,05.09.24,LU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
04.09.24,04.09.24,05.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
30.08.24,04.09.24,04.09.24,SO,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
30.08.24,04.09.24,04.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
28.08.24,04.09.24,04.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
02.09.24,04.09.24,04.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
04.09.24,04.09.24,04.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
04.09.24,04.09.24,04.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
04.09.24,04.09.24,04.09.24,BS,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
03.09.24,04.09.24,04.09.24,VD,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
03.09.24,03.09.24,03.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3
03.09.24,03.09.24,03.09.24,VD,Rind,Blauzungenkrankheit (Bluetongue),BTV-8
02.09.24,02.09.24,02.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3
25.08.24,30.08.24,30.08.24,VD,Rind,Blauzungenkrankheit (Bluetongue),BTV-8
